label,sentence
SimpleNPs_42_spa_eng_grammatical,Pon el collar en la mesa junto a la caja de joyas.
SimpleNPs_43_spa_eng_grammatical,Revisa el passport para asegurarte de que no esté caducado antes del viaje.
SimpleNPs_44_spa_eng_grammatical,Cruza el bridge con cuidado porque el viento está muy fuerte hoy.
SimpleNPs_45_spa_eng_grammatical,Sigue el road hasta el final y gira a la derecha en la rotonda.
SimpleNPs_46_spa_eng_grammatical,Pescaron junto al river durante la mañana y regresaron al mediodía cansados.
SimpleNPs_47_spa_eng_grammatical,Nadaron en el lake hasta que el sol empezó a ponerse lentamente.
SimpleNPs_48_spa_eng_grammatical,Entraron al stadium con sus entradas y buscaron sus asientos rápidamente.
SimpleNPs_49_spa_eng_grammatical,Disfrutaron el concert desde la primera fila durante casi tres horas.
SimpleNPs_50_spa_eng_grammatical,Reservamos el show para el sábado y esperamos una noche divertida.
SimpleNPs_51_spa_eng_grammatical,Colgó el painting en la pared del salón antes de la cena.
SimpleNPs_52_spa_eng_grammatical,Guarda el pocket de la chaqueta para que no se pierda nada.
SimpleNPs_53_spa_eng_grammatical,Busca el sock que falta dentro de la cesta de la ropa.
SimpleNPs_54_spa_eng_grammatical,El conductor estacionó el truck junto al muelle para descargar la carga.
SimpleNPs_55_spa_eng_grammatical,Tomaron el bus de la mañana para llegar a la oficina a tiempo.
SimpleNPs_56_spa_eng_grammatical,Bajaron el subway en la estación central para cambiar de línea rápidamente.
SimpleNPs_57_spa_eng_grammatical,Pasaron el park con los niños mientras buscaban un lugar para picnic.
SimpleNPs_58_spa_eng_grammatical,Regaron el garden antes de que el sol se pusiera esta tarde.
SimpleNPs_59_spa_eng_grammatical,Cruzaron el field para llegar al molino antes de que oscureciera.
SimpleNPs_60_spa_eng_grammatical,Exploraron el forest con linternas durante la excursión nocturna del colegio.
SimpleNPs_61_spa_eng_grammatical,Visitaron el museum para ver la exposición de arte contemporáneo internacional.
SimpleNPs_62_spa_eng_grammatical,Reservaron el theater para la función que empezaba a las ocho.
SimpleNPs_63_spa_eng_grammatical,Entraron el cinema justo cuando empezaba la película de la noche.
SimpleNPs_64_spa_eng_grammatical,Cenamos el restaurant nuevo que abrió cerca de la plaza central ayer.
SimpleNPs_65_spa_eng_grammatical,Reservaron el hotel con vista al mar para las vacaciones de verano.
SimpleNPs_66_spa_eng_grammatical,Nos encontramos en el bar de la esquina para conversar un rato tranquilo.
SimpleNPs_67_spa_eng_grammatical,Cortaron el cake en porciones iguales para repartir entre todos los invitados.
SimpleNPs_68_spa_eng_grammatical,Compraron el ice_cream en la heladería antes de volver a casa caminando.
SimpleNPs_69_spa_eng_grammatical,Sirve el juice en vasos fríos para los niños en la merienda.
SimpleNPs_70_spa_eng_grammatical,Prepara el tea en la tetera antes de que lleguen los invitados.
SimpleNPs_71_spa_eng_grammatical,Guardaron el wine en la bodega para que envejeciera unos meses más.
SimpleNPs_72_spa_eng_grammatical,Sirvió el dessert al final de la cena para sorprender a los comensales.
SimpleNPs_73_spa_eng_grammatical,Preparó el breakfast antes de que los niños se despertaran esta mañana.
SimpleNPs_74_spa_eng_grammatical,Empacó el lunch para llevarlo al trabajo y comer en la oficina.
SimpleNPs_75_spa_eng_grammatical,Limpia el bathroom antes de que lleguen los invitados esta tarde por favor.
SimpleNPs_76_spa_eng_grammatical,Ordena el room y guarda la ropa antes de que lleguen tus padres.
SimpleNPs_77_spa_eng_grammatical,Decoraron el bedroom con luces y plantas para crear un ambiente acogedor.
SimpleNPs_78_spa_eng_grammatical,Guardan el basement las cajas con recuerdos en la esquina más oscura.
SimpleNPs_79_spa_eng_grammatical,Pusieron el balcony plantas y sillas para disfrutar las tardes de verano.
SimpleNPs_80_spa_eng_grammatical,Organizaron el game en el salón para que todos participaran y se divirtieran.
SimpleNPs_81_spa_eng_grammatical,Vieron el match en la televisión con amigos y mucha emoción.
SimpleNPs_82_spa_eng_grammatical,Apoyaron el team durante todo el torneo con pancartas y cánticos.
SimpleNPs_83_spa_eng_grammatical,Celebraron el goal con abrazos y gritos cuando terminó el partido.
SimpleNPs_84_spa_eng_grammatical,Alquilaron el apartment cerca del centro para reducir el tiempo de viaje.
SimpleNPs_85_spa_eng_grammatical,Subieron el elevator porque las escaleras estaban cerradas por mantenimiento.
SimpleNPs_86_spa_eng_grammatical,Enciende el fan si hace calor mientras trabajas en la oficina.
SimpleNPs_87_spa_eng_grammatical,Conecta el plug en la toma antes de encender el aparato eléctrico.
SimpleNPs_88_spa_eng_grammatical,Apaga el switch cuando salgas para ahorrar energía en la oficina.
SimpleNPs_89_spa_eng_grammatical,Pulsa el button para iniciar la máquina y espera a que termine.
SimpleNPs_90_spa_eng_grammatical,Busca el remote_control entre los cojines del sofá antes de la película.
SimpleNPs_91_spa_eng_grammatical,Colocaron el speaker en la esquina para mejorar la calidad del sonido.
SimpleNPs_92_spa_eng_grammatical,Ajusta el microphone para que la voz se escuche clara en el evento.
SimpleNPs_93_spa_eng_grammatical,Revisaron el video de la reunión para tomar notas sobre las decisiones.
SimpleNPs_94_spa_eng_grammatical,Guarda el file en la carpeta correcta antes de cerrar el ordenador.
SimpleNPs_95_spa_eng_grammatical,Revisa el mail antes de salir para responder los mensajes urgentes.
SimpleNPs_96_spa_eng_grammatical,Envía el message al grupo para confirmar la hora de la reunión.
SimpleNPs_97_spa_eng_grammatical,Firma el contract y devuélvelo a la oficina antes del viernes.
SimpleNPs_98_spa_eng_grammatical,Guarda el receipt por si necesitas hacer una devolución más tarde.
SimpleNPs_99_spa_eng_grammatical,Deposita el check en el banco antes de que cierre la sucursal.
SimpleNPs_100_spa_eng_grammatical,Encuentra el wallet en la bolsa antes de salir hacia la estación.
SimpleNPs_101_spa_eng_grammatical,Apaga el lamp antes de acostarte para ahorrar electricidad esta noche.
SimpleNPs_102_spa_eng_grammatical,Limpia el stove después de cocinar para evitar manchas difíciles mañana.
SimpleNPs_103_spa_eng_grammatical,Pon la compra en el fridge y cierra la puerta con cuidado.
SimpleNPs_104_spa_eng_grammatical,Guarda los documentos importantes en el drawer dentro del escritorio ahora.
SimpleNPs_105_spa_eng_grammatical,Coloca el libro en el shelf a la altura de los ojos.
SimpleNPs_106_spa_eng_grammatical,Cierra el curtain para bloquear la luz antes de que amanezca.
SimpleNPs_107_spa_eng_grammatical,Ajusta el mirror para que refleje la luz hacia la ventana.
SimpleNPs_108_spa_eng_grammatical,Revisa el drawer para ver si dejaste las llaves allí ayer.
SimpleNPs_109_spa_eng_grammatical,Marca el appointment en el calendar para no olvidarlo la próxima semana.
SimpleNPs_110_spa_eng_grammatical,Mira el clock para comprobar la hora antes de salir corriendo.
SimpleNPs_111_spa_eng_grammatical,Pega el poster en la pared del pasillo con cinta adhesiva fuerte.
SimpleNPs_112_spa_eng_grammatical,Consulta el calendar para elegir una fecha conveniente para la reunión.
SimpleNPs_113_spa_eng_grammatical,Guarda el receipt en la carpeta de gastos para la contabilidad mensual.
SimpleNPs_114_spa_eng_grammatical,Retira el poster viejo antes de colgar el nuevo esta tarde.
SimpleNPs_115_spa_eng_grammatical,Coloca las botellas en el crate y ciérralo con cuidado para transportar.
SimpleNPs_116_spa_eng_grammatical,Abre el box con cuidado porque contiene objetos frágiles y antiguos.
SimpleNPs_117_spa_eng_grammatical,Recoge el parcel en la oficina de correos antes de que cierre.
SimpleNPs_118_spa_eng_grammatical,Pega el stamp en el sobre antes de dejar la carta en correos.
SimpleNPs_119_spa_eng_grammatical,Escribe el letter con calma y revisa la ortografía antes de enviar.
SimpleNPs_120_spa_eng_grammatical,Organiza el folder por colores para encontrar documentos rápidamente en la oficina.
SimpleNPs_121_spa_eng_grammatical,Entrega el report al jefe antes de la reunión de la tarde.
SimpleNPs_122_spa_eng_grammatical,Prepara el summary para la presentación y repásalo con el equipo.
SimpleNPs_123_spa_eng_grammatical,Envía el invoice al cliente y confirma la recepción por correo.
SimpleNPs_124_spa_eng_grammatical,Paga el bill antes de la fecha límite para evitar cargos adicionales.
SimpleNPs_125_spa_eng_grammatical,Escanea el receipt y súbelo al sistema de gastos esta tarde.
SimpleNPs_126_spa_eng_grammatical,Lleva el badge visible durante la visita al edificio por seguridad.
SimpleNPs_127_spa_eng_grammatical,Encuentra el key en la mesa antes de salir hacia la estación.
SimpleNPs_128_spa_eng_grammatical,Revisa el lock para asegurarte de que la puerta esté bien cerrada.
SimpleNPs_129_spa_eng_grammatical,Asegura la bicicleta con el chain antes de entrar a la tienda.
SimpleNPs_130_spa_eng_grammatical,Ata el rope alrededor del paquete para mantenerlo firme durante el viaje.
SimpleNPs_131_spa_eng_grammatical,Coloca el ladder contra la pared antes de subir con cuidado.
SimpleNPs_132_spa_eng_grammatical,Guarda el tool en la caja después de terminar la reparación del coche.
SimpleNPs_133_spa_eng_grammatical,Sujeta el hammer con firmeza antes de golpear el clavo en la madera.
SimpleNPs_134_spa_eng_grammatical,Inserta el nail en la tabla y golpéalo con cuidado hasta que entre.
SimpleNPs_135_spa_eng_grammatical,Aprieta el screw para asegurar la bisagra antes de cerrar la puerta.
SimpleNPs_136_spa_eng_grammatical,Usa el drill con protección ocular para perforar la pared con seguridad.
SimpleNPs_137_spa_eng_grammatical,Aplica el paint en capas finas para lograr un acabado uniforme y liso.
SimpleNPs_138_spa_eng_grammatical,Sumerge el brush en la pintura y pinta con trazos largos y suaves.
SimpleNPs_139_spa_eng_grammatical,Pasa el roller sobre la pared para cubrirla con la nueva capa.
SimpleNPs_140_spa_eng_grammatical,Coloca el mask antes de entrar al taller por seguridad y salud.
SimpleNPs_141_spa_eng_grammatical,Limpia las glasses con un paño suave antes de empezar a trabajar.
SimpleNPs_142_spa_eng_grammatical,Saca el contact_lens con cuidado y guárdalo en su estuche limpio.
SimpleNPs_143_spa_eng_grammatical,Coloca el bandage sobre la herida y sujétalo con cinta adhesiva.
SimpleNPs_144_spa_eng_grammatical,Aplica el ointment según las instrucciones para acelerar la curación de la piel.
SimpleNPs_145_spa_eng_grammatical,Mide la temperatura con el thermometer y anota el resultado en la ficha.
SimpleNPs_146_spa_eng_grammatical,Escucharon el band tocar en vivo durante el festival de la ciudad.
SimpleNPs_147_spa_eng_grammatical,Compraron el album en la tienda de música después del concierto.
SimpleNPs_148_spa_eng_grammatical,Corrió el track tres veces como parte de su entrenamiento diario.
SimpleNPs_149_spa_eng_grammatical,Revisaron el score para verificar los resultados antes de anunciar al ganador.
SimpleNPs_150_spa_eng_grammatical,Ensaya el script con el elenco para pulir las escenas antes del estreno.
SimpleNPs_151_spa_eng_grammatical,Coloca el mirror en la pared del pasillo antes de la cena familiar.
SimpleNPs_152_spa_eng_grammatical,Cubre al bebé con el blanket antes de salir al frío nocturno.
SimpleNPs_153_spa_eng_grammatical,Pon el pillow en la cama para que esté cómodo al dormir.
SimpleNPs_154_spa_eng_grammatical,Coloca el mat frente a la puerta para limpiar los zapatos al entrar.
SimpleNPs_155_spa_eng_grammatical,Cierra el curtain para que la habitación quede oscura antes de dormir.
SimpleNPs_156_spa_eng_grammatical,Pinta la pared con el blank para que el cuarto parezca más grande.
SimpleNPs_157_spa_eng_grammatical,Colgó el frame con cuidado para que la foto quedara centrada.
SimpleNPs_158_spa_eng_grammatical,Colocaron el statue en el jardín para decorar la entrada principal.
SimpleNPs_159_spa_eng_grammatical,Pon el vase en el centro de la mesa para la cena.
SimpleNPs_160_spa_eng_grammatical,Enciende el candle durante la cena para crear un ambiente acogedor.
SimpleNPs_161_spa_eng_grammatical,Lleva el lantern al patio cuando salgamos a cenar esta noche.
SimpleNPs_162_spa_eng_grammatical,Ajusta el clock para que suene la alarma a las seis.
SimpleNPs_163_spa_eng_grammatical,Marca el calendar con la fecha límite antes de enviar el informe.
SimpleNPs_164_spa_eng_grammatical,Pega el poster en la pared del pasillo para anunciar el evento.
SimpleNPs_165_spa_eng_grammatical,Coloca el sign en la entrada para indicar el horario de atención.
SimpleNPs_166_spa_eng_grammatical,Izaron el flag en el mástil al comenzar la ceremonia oficial del pueblo.
SimpleNPs_167_spa_eng_grammatical,Visitaron el statue histórico durante la excursión guiada por la ciudad.
SimpleNPs_168_spa_eng_grammatical,Colocaron el plaque junto a la entrada para conmemorar la inauguración.
SimpleNPs_169_spa_eng_grammatical,Pusieron el signboard frente a la tienda para anunciar la oferta especial.
SimpleNPs_170_spa_eng_grammatical,Retiraron el poster antiguo antes de colgar el nuevo esta mañana.
SimpleNPs_171_spa_eng_grammatical,Pulieron el statue de bronce para que brillara en la exposición.
SimpleNPs_172_spa_eng_grammatical,Colocaron el bench bajo el árbol para que la gente descansara.
SimpleNPs_173_spa_eng_grammatical,Encendieron el fountain por la noche para el espectáculo de luces.
SimpleNPs_174_spa_eng_grammatical,Cruzaron el bridge con cuidado porque el viento soplaba con fuerza.
SimpleNPs_175_spa_eng_grammatical,Admiraron el statue moderno durante la visita al museo de arte.
SimpleNPs_176_spa_eng_grammatical,Fotografiaron el monument durante la excursión para el proyecto escolar.
SimpleNPs_177_spa_eng_grammatical,Resguardaron el statue en el almacén para protegerlo de la lluvia.
SimpleNPs_178_spa_eng_grammatical,Decoraron el altar con flores para la celebración religiosa del domingo.
SimpleNPs_179_spa_eng_grammatical,Visitamos el shrine para dejar una ofrenda y pedir buena suerte.
SimpleNPs_180_spa_eng_grammatical,Exploraron el crypt con linternas durante la visita nocturna guiada.
SimpleNPs_181_spa_eng_grammatical,Colocaron el altar decorado en el centro de la capilla antigua.
SimpleNPs_182_spa_eng_grammatical,Guardaron el statue en una vitrina para protegerlo del polvo y la humedad.
SimpleNPs_183_spa_eng_grammatical,Coloca el mask antes de entrar al laboratorio por seguridad y protocolo.
SimpleNPs_184_spa_eng_grammatical,Encuentra el glove que dejaste en la mesa del comedor esta mañana.
SimpleNPs_185_spa_eng_grammatical,Ajusta el helmet antes de subir a la bicicleta por seguridad.
SimpleNPs_186_spa_eng_grammatical,Ponte el vest reflectante si vas a caminar por la carretera.
SimpleNPs_187_spa_eng_grammatical,Cuelga el coat en el perchero al entrar para que no se arrugue.
SimpleNPs_188_spa_eng_grammatical,Envuelve el scarf alrededor del cuello para protegerte del viento frío.
SimpleNPs_189_spa_eng_grammatical,Limpia las glasses con cuidado antes de empezar a leer el informe.
SimpleNPs_190_spa_eng_grammatical,Revisa el watch para comprobar la hora antes de la reunión urgente.
SimpleNPs_191_spa_eng_grammatical,Guarda el ring en la caja fuerte para protegerlo durante el viaje.
SimpleNPs_192_spa_eng_grammatical,Coloca el necklace en la caja de joyas antes de salir de casa.
SimpleNPs_193_spa_eng_grammatical,Ajusta el bracelet para que no se caiga mientras trabajas.
SimpleNPs_194_spa_eng_grammatical,Ajusta el watch para que la alarma suene a la hora correcta.
SimpleNPs_195_spa_eng_grammatical,Guarda el coin en la colección con cuidado para evitar daños.
SimpleNPs_196_spa_eng_grammatical,Pega el stamp en el sobre antes de llevar la carta al buzón.
SimpleNPs_197_spa_eng_grammatical,Retira el poster de la pared cuando termine la campaña publicitaria.
SimpleNPs_198_spa_eng_grammatical,Recoge el leaf caído y colócalo en la bolsa de compost.
SimpleNPs_199_spa_eng_grammatical,Planta el seed en la maceta y riégalo según las instrucciones.
SimpleNPs_200_spa_eng_grammatical,Cambia el bulb quemado por uno nuevo en la lámpara del salón.
ComplexNPs_1_spa_eng_grammatical,El bibliotecario colocó el ancient book en la estantería antes del cierre.
ComplexNPs_2_spa_eng_grammatical,El vecino lavó el shiny car en el garaje durante la tarde.
ComplexNPs_3_spa_eng_grammatical,Los voluntarios pasearon el friendly dog por el refugio esta mañana.
ComplexNPs_4_spa_eng_grammatical,Por favor deja el cracked phone sobre la mesa cuando termines.
ComplexNPs_5_spa_eng_grammatical,El técnico instaló el powerful computer en la sala de trabajo hoy.
ComplexNPs_6_spa_eng_grammatical,Firma el formulario con el fine pen que está en la mesa.
ComplexNPs_7_spa_eng_grammatical,Compré el warm bread en la panadería antes de volver a casa.
ComplexNPs_8_spa_eng_grammatical,Encontré el muddy shoe junto a la puerta al volver anoche.
ComplexNPs_9_spa_eng_grammatical,Guardó el leather bag debajo del asiento durante todo el viaje.
ComplexNPs_10_spa_eng_grammatical,Colocó el straw hat en la percha junto a la chaqueta.
ComplexNPs_11_spa_eng_grammatical,Ana ajustó el digital watch antes de salir para la reunión.
ComplexNPs_12_spa_eng_grammatical,Pon el empty glass en el fregadero cuando termines de lavar.
ComplexNPs_13_spa_eng_grammatical,Lava el ceramic plate después de cenar para que esté listo mañana.
ComplexNPs_14_spa_eng_grammatical,Corta el sharp knife con cuidado sobre la tabla de madera.
ComplexNPs_15_spa_eng_grammatical,Pon el silver fork a la derecha del plato principal  por favor.
ComplexNPs_16_spa_eng_grammatical,Escribe tu respuesta con el HB pencil en la hoja superior.
ComplexNPs_17_spa_eng_grammatical,Deja el spiral notebook en mi escritorio cuando termines de estudiar.
ComplexNPs_18_spa_eng_grammatical,Extiende el folded map sobre la mesa para que todos lo vean.
ComplexNPs_19_spa_eng_grammatical,Plantaron el young tree junto al sendero durante la jornada comunitaria.
ComplexNPs_20_spa_eng_grammatical,Tomaron el overnight train para llegar a la ciudad al amanecer.
ComplexNPs_21_spa_eng_grammatical,Reservaron el private plane para el viaje de negocios la próxima semana.
ComplexNPs_22_spa_eng_grammatical,Alquilamos el fishing boat para pasar la tarde en la bahía.
ComplexNPs_23_spa_eng_grammatical,Dejaron el wooden bench frente al museo para descansar un rato.
ComplexNPs_24_spa_eng_grammatical,Compramos verduras en el open market cerca de la plaza central.
ComplexNPs_25_spa_eng_grammatical,Montaron el grey horse por el sendero que bordea el río.
ComplexNPs_26_spa_eng_grammatical,Apaga el flat television cuando termines de ver la serie.
ComplexNPs_27_spa_eng_grammatical,Cuelga el waterproof jacket en el perchero al entrar empapado.
ComplexNPs_28_spa_eng_grammatical,Guarda el concert ticket en tu cartera hasta que entres al recinto.
ComplexNPs_29_spa_eng_grammatical,Colocó el antique ring en la caja antes de cerrar la vitrina.
ComplexNPs_30_spa_eng_grammatical,Ensayó el grand piano durante horas antes del concierto del sábado.
ComplexNPs_31_spa_eng_grammatical,Recoge el compact umbrella del perchero antes de salir bajo la lluvia.
ComplexNPs_32_spa_eng_grammatical,Envía el confidential document por correo seguro antes del mediodía  por favor.
ComplexNPs_33_spa_eng_grammatical,Coloca el round mirror en la pared del pasillo junto a la entrada.
ComplexNPs_34_spa_eng_grammatical,Pasa el soft brush por la alfombra para quitar el polvo.
ComplexNPs_35_spa_eng_grammatical,Deja el scented soap junto al lavabo para los invitados esta noche.
ComplexNPs_36_spa_eng_grammatical,Precalienta el electric oven a la temperatura indicada antes de hornear.
ComplexNPs_37_spa_eng_grammatical,Lee el local newspaper mientras tomas café en la terraza esta mañana.
ComplexNPs_38_spa_eng_grammatical,Ajusta el cycling helmet antes de subir a la bicicleta en la pista.
ComplexNPs_39_spa_eng_grammatical,Encuentra el leather glove que dejaste en la mesa del comedor.
ComplexNPs_40_spa_eng_grammatical,Lava el wool sweater según las instrucciones antes de guardarlo en otoño.
ComplexNPs_41_spa_eng_grammatical,Pon el silver collar en la mesa junto a la caja de joyas.
ComplexNPs_42_spa_eng_grammatical,Revisa el valid passport para asegurarte de que no esté caducado antes del viaje.
ComplexNPs_43_spa_eng_grammatical,Cruza el wooden bridge con cuidado porque las tablas están resbaladizas.
ComplexNPs_44_spa_eng_grammatical,Sigue el winding road hasta la granja y aparca junto al granero.
ComplexNPs_45_spa_eng_grammatical,Pescaron en el shallow river hasta que el sol se ocultó.
ComplexNPs_46_spa_eng_grammatical,Nadaron en el clear lake hasta que el frío los obligó a salir.
ComplexNPs_47_spa_eng_grammatical,Entraron al modern stadium con sus entradas y buscaron sus asientos.
ComplexNPs_48_spa_eng_grammatical,Disfrutaron el outdoor concert desde la colina con mantas y bocadillos.
ComplexNPs_49_spa_eng_grammatical,Reservamos el charity show para el sábado y esperamos una gran noche.
ComplexNPs_50_spa_eng_grammatical,Cambia el halogen foco en la lámpara antes de que lleguen los invitados.
ComplexNPs_51_spa_eng_grammatical,Colgó el ancient painting en la galería antes de la inauguración del viernes.
ComplexNPs_52_spa_eng_grammatical,Metió el small pocket la carta dentro del abrigo antes de salir.
ComplexNPs_53_spa_eng_grammatical,Secó el clean sock en la secadora antes de guardarlo en la cesta.
ComplexNPs_54_spa_eng_grammatical,El conductor estacionó el heavy truck junto al muelle para descargar la carga.
ComplexNPs_55_spa_eng_grammatical,Tomaron el crowded bus en la parada de la esquina esta mañana.
ComplexNPs_56_spa_eng_grammatical,Bajaron el deep subway en la estación central para cambiar de línea.
ComplexNPs_57_spa_eng_grammatical,Pasaron el quiet park con los niños mientras buscaban un lugar para picnic.
ComplexNPs_58_spa_eng_grammatical,Regaron el small garden antes de que el sol se pusiera esta tarde.
ComplexNPs_59_spa_eng_grammatical,Cruzaron el open field para llegar al molino antes de que oscureciera.
ComplexNPs_60_spa_eng_grammatical,Exploraron el dense forest con linternas durante la excursión nocturna del colegio.
ComplexNPs_61_spa_eng_grammatical,Visitaron el modern museum para ver la exposición de arte contemporáneo internacional.
ComplexNPs_62_spa_eng_grammatical,Reservaron el small theater para la función que empezaba a las ocho.
ComplexNPs_63_spa_eng_grammatical,Entraron el independent cinema justo cuando empezaba la película de la noche.
ComplexNPs_64_spa_eng_grammatical,Cenamos el cozy restaurant que abrió cerca de la plaza central anoche.
ComplexNPs_65_spa_eng_grammatical,Reservaron el boutique hotel con vista al mar para las vacaciones de verano.
ComplexNPs_66_spa_eng_grammatical,Nos encontramos en el quiet bar de la esquina para conversar un rato.
ComplexNPs_67_spa_eng_grammatical,Cortaron el chocolate cake en porciones iguales para repartir entre los invitados.
ComplexNPs_68_spa_eng_grammatical,Compraron el creamy ice_cream en la heladería antes de volver a casa.
ComplexNPs_69_spa_eng_grammatical,Sirve el fresh juice en vasos fríos para los niños en la merienda.
ComplexNPs_70_spa_eng_grammatical,Prepara el hot tea en la tetera antes de que lleguen los invitados.
ComplexNPs_71_spa_eng_grammatical,Guardaron el red wine en la bodega para que envejeciera unos meses más.
ComplexNPs_72_spa_eng_grammatical,Sirvió el light dessert al final de la cena para sorprender a los comensales.
ComplexNPs_73_spa_eng_grammatical,Preparó el hearty breakfast antes de que los niños se despertaran esta mañana.
ComplexNPs_74_spa_eng_grammatical,Empacó el packed lunch para llevarlo al trabajo y comer en la oficina.
ComplexNPs_75_spa_eng_grammatical,Limpia el small bathroom antes de que lleguen los invitados esta tarde  por favor.
ComplexNPs_76_spa_eng_grammatical,Ordena el spare room y guarda la ropa antes de que lleguen tus padres.
ComplexNPs_77_spa_eng_grammatical,Decoraron el master bedroom con luces y plantas para crear un ambiente acogedor.
ComplexNPs_78_spa_eng_grammatical,Guardaron el dry basement las cajas con recuerdos en la esquina más oscura.
ComplexNPs_79_spa_eng_grammatical,Pusieron el small balcony plantas y sillas para disfrutar las tardes de verano.
ComplexNPs_80_spa_eng_grammatical,Organizaron el board game en el salón para que todos participaran y se divirtieran.
ComplexNPs_81_spa_eng_grammatical,Vieron el friendly match en la televisión con amigos y mucha emoción.
ComplexNPs_82_spa_eng_grammatical,Apoyaron el local team durante todo el torneo con pancartas y cánticos.
ComplexNPs_83_spa_eng_grammatical,Celebraron el winning goal con abrazos y gritos cuando terminó el partido.
ComplexNPs_84_spa_eng_grammatical,Alquilaron el cozy apartment cerca del centro para reducir el tiempo de viaje.
ComplexNPs_85_spa_eng_grammatical,Subieron el slow elevator porque las escaleras estaban cerradas por mantenimiento.
ComplexNPs_86_spa_eng_grammatical,Enciende el ceiling fan si hace calor mientras trabajas en la oficina.
ComplexNPs_87_spa_eng_grammatical,Conecta el loose plug en la toma antes de encender el aparato eléctrico.
ComplexNPs_88_spa_eng_grammatical,Apaga el main switch cuando salgas para ahorrar energía en la oficina.
ComplexNPs_89_spa_eng_grammatical,Pulsa el red button para iniciar la máquina y espera a que termine.
