phenomenon,sentence_number,spa_eng_grammatical,spa_eng_ungrammatical,eng_spa_grammatical,eng_spa_ungrammatical
SimpleNPs,11,Colocó el hat en la percha junto a la chaqueta en la entrada.,Colocó hat el en la percha junto a la chaqueta en la entrada.,He tipped the sombrero politely as he entered the crowded room slowly.,He tipped sombrero the politely as he entered the crowded room slowly.
SimpleNPs,12,Ana perdió el watch durante la caminata por el parque ayer por la tarde.,Ana perdió watch el durante la caminata por el parque ayer por la tarde.,She set the reloj before leaving so she wouldn't be late again.,She set reloj the before leaving so she wouldn't be late again.
SimpleNPs,13,Pon el glass en el fregadero cuando termines de lavar los platos.,Pon glass el en el fregadero cuando termines de lavar los platos.,He filled the vaso with water and handed it to the guest.,He filled vaso the with water and handed it to the guest.
SimpleNPs,14,Lava el plate después de cenar para que esté listo mañana temprano.,Lava plate el después de cenar para que esté listo mañana temprano.,She arranged the plato on the table before the guests arrived tonight.,She arranged plato the on the table before the guests arrived tonight.
SimpleNPs,15,Corta el pan con el knife que está en la cocina ahora mismo.,Corta knife el con el pan que está en la cocina ahora mismo.,Please hand me the cuchillo from the drawer near the stove.,Please hand me cuchillo the from the drawer near the stove.
SimpleNPs,16,Pon el fork a la derecha del plato antes de que lleguen los invitados.,Pon fork el a la derecha del plato antes de que lleguen los invitados.,He set the tenedor beside the napkin at every place setting.,He set tenedor the beside the napkin at every place setting.
SimpleNPs,17,Escribe tu nombre con el pencil en la esquina superior del formulario.,Escribe pencil el tu nombre en la esquina superior del formulario.,She sharpened the lápiz before starting the drawing in art class.,She sharpened lápiz the before starting the drawing in art class.
SimpleNPs,18,Deja el notebook en mi escritorio cuando termines de estudiar esta noche.,Deja notebook el en mi escritorio cuando termines de estudiar esta noche.,He opened the cuaderno to review his notes from the lecture earlier.,He opened cuaderno the to review his notes from the lecture earlier.
SimpleNPs,19,Coloca el map en la mesa para que todos puedan verlo claramente.,Coloca map el en la mesa para que todos puedan verlo claramente.,They unfolded the mapa to check the route before starting the hike.,They unfolded mapa the to check the route before starting the hike.
SimpleNPs,20,Plantaron el tree junto al camino durante la jornada de voluntariado comunitario.,Plantaron tree el junto al camino durante la jornada de voluntariado comunitario.,We decorated the árbol with lights for the neighborhood celebration last night.,We decorated árbol the with lights for the neighborhood celebration last night.
SimpleNPs,21,Tomaron el train de las ocho para llegar a la ciudad a tiempo.,Tomaron train el de las ocho para llegar a la ciudad a tiempo.,She missed the tren because traffic delayed her getting to the station.,She missed tren the because traffic delayed her getting to the station.
SimpleNPs,22,Reservaron el plane con antelación para conseguir mejores asientos en la fila.,Reservaron plane el con antelación para conseguir mejores asientos en la fila.,He boarded the avión after showing his passport at the gate.,He boarded avión the after showing his passport at the gate.
SimpleNPs,23,Alquilamos el boat para navegar por la bahía durante la tarde soleada.,Alquilamos boat el para navegar por la bahía durante la tarde soleada.,They inspected the barco before leaving the dock for the short trip.,They inspected barco the before leaving the dock for the short trip.
SimpleNPs,24,Dejaron el bench frente al museo para esperar a sus amigos juntos.,Dejaron bench el frente al museo para esperar a sus amigos juntos.,She sat on the banco while she read the letter quietly.,She sat on banco the while she read the letter quietly.
SimpleNPs,25,Compramos frutas frescas en el market cerca de la plaza central.,Compramos market el frutas frescas en el mercado cerca de la plaza central.,He visited the mercado early to find the best vegetables for dinner.,He visited mercado the early to find the best vegetables for dinner.
SimpleNPs,26,Montaron el horse por el sendero que bordea el río esta mañana.,Montaron horse el por el sendero que bordea el río esta mañana.,She groomed the caballo carefully before the competition on Saturday morning.,She groomed caballo the carefully before the competition on Saturday morning.
SimpleNPs,27,Apaga el television cuando termines de ver el programa esta noche.,Apaga television el cuando termines de ver el programa esta noche.,They bought the televisor because the old one stopped working last week.,They bought televisor the because the old one stopped working last week.
SimpleNPs,28,Cuelga el jacket en el armario antes de salir a la lluvia.,Cuelga jacket el en el armario antes de salir a la lluvia.,He left the abrigo on the chair near the apartment door.,He left abrigo the on the chair near the apartment door.
SimpleNPs,29,Guarda el ticket en tu cartera para mostrarlo al entrar al concierto.,Guarda ticket el en tu cartera para mostrarlo al entrar al concierto.,She lost the boleto but found it under the seat afterward.,She lost boleto the but found it under the seat afterward.
SimpleNPs,30,Colocó el ring en la caja y lo dejó sobre la mesa.,Colocó ring el en la caja y lo dejó sobre la mesa.,He admired the anillo under the light before placing it on display.,He admired anillo the under the light before placing it on display.
SimpleNPs,31,Practica el piano media hora cada tarde para mejorar la pieza difícil.,Practica piano el media hora cada tarde para mejorar la pieza difícil.,They tuned the piano before the recital in the small concert hall.,They tuned piano the before the recital in the small concert hall.
SimpleNPs,32,Recoge el umbrella del perchero antes de salir bajo la lluvia.,Recoge umbrella el del perchero antes de salir bajo la lluvia.,Please take the paraguas from the stand by the front door.,Please take paraguas the from the stand by the front door.
SimpleNPs,33,Envía el document por correo electrónico al cliente antes del mediodía por favor.,Envía document el por correo electrónico al cliente antes del mediodía por favor.,She signed the documento and returned it to the office this morning.,She signed documento the and returned it to the office this morning.
SimpleNPs,34,Coloca el mirror en la pared del pasillo junto a la entrada.,Coloca mirror el en la pared del pasillo junto a la entrada.,He cleaned the espejo before hanging it above the fireplace yesterday.,He cleaned espejo the before hanging it above the fireplace yesterday.
SimpleNPs,35,Pasa el brush por el pelo del perro después del paseo diario.,Pasa brush el por el pelo del perro después del paseo diario.,She bought the cepillo to clean the shoes before the event.,She bought cepillo the to clean the shoes before the event.
SimpleNPs,36,Deja el soap junto al lavabo para que los invitados lo usen.,Deja soap el junto al lavabo para que los invitados lo usen.,He replaced the jabón in the dispenser near the kitchen sink.,He replaced jabón the in the dispenser near the kitchen sink.
SimpleNPs,37,Precalienta el oven a la temperatura indicada antes de meter la masa.,Precalienta oven el a la temperatura indicada antes de meter la masa.,They checked the horno to ensure it was working before baking the cake.,They checked horno the to ensure it was working before baking the cake.
SimpleNPs,38,Lee el newspaper mientras tomas café en la terraza esta mañana tranquila.,Lee newspaper el mientras tomas café en la terraza esta mañana tranquila.,She folded the periódico and put it on the doorstep for recycling.,She folded periódico the and put it on the doorstep for recycling.
SimpleNPs,39,Ajusta el helmet antes de subir a la bicicleta en la pista.,Ajusta helmet el antes de subir a la bicicleta en la pista.,He grabbed the casco from the shelf before leaving for the ride.,He grabbed casco the from the shelf before leaving for the ride.
SimpleNPs,40,Encuentra el glove que combina con tu abrigo en el cajón.,Encuentra glove el que combina con tu abrigo en el cajón.,She wore the guante to protect her hand while gardening today.,She wore guante the to protect her hand while gardening today.
SimpleNPs,41,Lava el sweater según las instrucciones antes de guardarlo en otoño.,Lava sweater el según las instrucciones antes de guardarlo en otoño.,He folded the suéter neatly and placed it on the top shelf.,He folded suéter the neatly and placed it on the top shelf.
SimpleNPs,42,Pon el collar en la mesa junto a la caja de joyas.,Pon collar el en la mesa junto a la caja de joyas.,She adjusted the collar before stepping out into the cold evening.,She adjusted collar the before stepping out into the cold evening.
SimpleNPs,43,Revisa el passport para asegurarte de que no esté caducado antes del viaje.,Revisa passport el para asegurarte de que no esté caducado antes del viaje.,He kept the pasaporte in a safe place during the entire trip abroad.,He kept pasaporte the in a safe place during the entire trip abroad.
SimpleNPs,44,Cruza el bridge con cuidado porque el viento está muy fuerte hoy.,Cruza bridge el con cuidado porque el viento está muy fuerte hoy.,They photographed the puente at sunset when the light was especially beautiful.,They photographed puente the at sunset when the light was especially beautiful.
SimpleNPs,45,Sigue el road hasta el final y gira a la derecha en la rotonda.,Sigue road el hasta el final y gira a la derecha en la rotonda.,We repaired the camino after the heavy rains damaged several sections nearby.,We repaired camino the after the heavy rains damaged several sections nearby.
SimpleNPs,46,Pescaron junto al river durante la mañana y regresaron al mediodía cansados.,Pescaron river el junto a la mañana y regresaron al mediodía cansados.,They kayaked down the río enjoying the calm water and warm sun.,They kayaked down río the enjoying the calm water and warm sun.
SimpleNPs,47,Nadaron en el lake hasta que el sol empezó a ponerse lentamente.,Nadaron lake el en hasta que el sol empezó a ponerse lentamente.,He rented a boat on the lago for an afternoon of relaxation.,He rented barco the on the lago for an afternoon of relaxation.
SimpleNPs,48,Entraron al stadium con sus entradas y buscaron sus asientos rápidamente.,Entraron stadium el con sus entradas y buscaron sus asientos rápidamente.,The fans cheered loudly as they entered the estadio before the match.,The fans cheered loudly as they entered estadio the before the match.
SimpleNPs,49,Disfrutaron el concert desde la primera fila durante casi tres horas.,Disfrutaron concert el desde la primera fila durante casi tres horas.,She attended the concierto with friends and sang along to every song.,She attended concierto the with friends and sang along to every song.
SimpleNPs,50,Reservamos el show para el sábado y esperamos una noche divertida.,Reservamos show el para el sábado y esperamos una noche divertida.,They reviewed the espectáculo's program before taking their seats in the theater.,They reviewed espectáculo the program before taking their seats in the theater.
SimpleNPs,51,Colgó el painting en la pared del salón antes de la cena.,Colgó painting el en la pared del salón antes de la cena.,She admired the cuadro hanging above the fireplace all afternoon yesterday.,She admired cuadro the hanging above the fireplace all afternoon yesterday.
SimpleNPs,52,Guarda el pocket de la chaqueta para que no se pierda nada.,Guarda pocket el de la chaqueta para que no se pierda nada.,He found the bolsillo torn after pulling his keys from it.,He found bolsillo the torn after pulling his keys from it.
SimpleNPs,53,Busca el sock que falta dentro de la cesta de la ropa.,Busca sock el que falta dentro de la cesta de la ropa.,She matched the calcetín with its pair before putting them away.,She matched calcetín the with its pair before putting them away.
SimpleNPs,54,El conductor estacionó el truck junto al muelle para descargar la carga.,El conductor estacionó truck el junto al muelle para descargar la carga.,They inspected the camión before starting the long delivery route today.,They inspected camión the before starting the long delivery route today.
SimpleNPs,55,Tomaron el bus de la mañana para llegar a la oficina a tiempo.,Tomaron bus el de la mañana para llegar a la oficina a tiempo.,She missed the autobús because the traffic delayed her getting to the stop.,She missed autobús the because the traffic delayed her getting to the stop.
SimpleNPs,56,Bajaron el subway en la estación central para cambiar de línea rápidamente.,Bajaron subway el en la estación central para cambiar de línea rápidamente.,He waited for the metro on the platform with his suitcase nearby.,He waited for metro the on the platform with his suitcase nearby.
SimpleNPs,57,Pasaron el park con los niños mientras buscaban un lugar para picnic.,Pasaron park el con los niños mientras buscaban un lugar para picnic.,They walked the parque at dusk enjoying the cool evening breeze.,They walked parque the at dusk enjoying the cool evening breeze.
SimpleNPs,58,Regaron el garden antes de que el sol se pusiera esta tarde.,Regaron garden el antes de que el sol se pusiera esta tarde.,She planted the jardín with new flowers during the weekend's warm weather.,She planted jardín the with new flowers during the weekend's warm weather.
SimpleNPs,59,Cruzaron el field para llegar al molino antes de que oscureciera.,Cruzaron field el para llegar al molino antes de que oscureciera.,The children played in the campo until their parents called them home.,The children played in campo the until their parents called them home.
SimpleNPs,60,Exploraron el forest con linternas durante la excursión nocturna del colegio.,Exploraron forest el con linternas durante la excursión nocturna del colegio.,They photographed the bosque while hiking along the narrow mountain trail.,They photographed bosque the while hiking along the narrow mountain trail.
SimpleNPs,61,Visitaron el museum para ver la exposición de arte contemporáneo internacional.,Visitaron museum el para ver la exposición de arte contemporáneo internacional.,She guided the museo tour for the group of visiting students today.,She guided museo the tour for the group of visiting students today.
SimpleNPs,62,Reservaron el theater para la función que empezaba a las ocho.,Reservaron theater el para la función que empezaba a las ocho.,He bought the teatro tickets online before they sold out quickly.,He bought teatro the tickets online before they sold out quickly.
SimpleNPs,63,Entraron el cinema justo cuando empezaba la película de la noche.,Entraron cinema el justo cuando empezaba la película de la noche.,They enjoyed the cine screening with comfortable seats and clear sound.,They enjoyed cine the screening with comfortable seats and clear sound.
SimpleNPs,64,Cenamos el restaurant nuevo que abrió cerca de la plaza central ayer.,Cenamos restaurant el nuevo que abrió cerca de la plaza central ayer.,She recommended the restaurante to friends because the food was excellent.,She recommended restaurante the to friends because the food was excellent.
SimpleNPs,65,Reservaron el hotel con vista al mar para las vacaciones de verano.,Reservaron hotel el con vista al mar para las vacaciones de verano.,They checked into the hotel after a long day of traveling together.,They checked into hotel the after a long day of traveling together.
SimpleNPs,66,Nos encontramos en el bar de la esquina para conversar un rato tranquilo.,Nos encontramos bar el en la esquina para conversar un rato tranquilo.,He left the bar when it started to rain heavily outside the door.,He left bar the when it started to rain heavily outside the door.
SimpleNPs,67,Cortaron el cake en porciones iguales para repartir entre todos los invitados.,Cortaron cake el en porciones iguales para repartir entre todos los invitados.,She baked the pastel for the celebration and decorated it with care.,She baked pastel the for the celebration and decorated it with care.
SimpleNPs,68,Compraron el ice_cream en la heladería antes de volver a casa caminando.,Compraron ice_cream el en la heladería antes de volver a casa caminando.,He tasted the helado and smiled at the rich  creamy flavor.,He tasted helado the and smiled at the rich  creamy flavor.
SimpleNPs,69,Sirve el juice en vasos fríos para los niños en la merienda.,Sirve juice el en vasos fríos para los niños en la merienda.,She poured the jugo into bottles to take to the picnic later.,She poured jugo the into bottles to take to the picnic later.
SimpleNPs,70,Prepara el tea en la tetera antes de que lleguen los invitados.,Prepara tea el en la tetera antes de que lleguen los invitados.,He steeped the té for five minutes to get the right strength.,He steeped té the for five minutes to get the right strength.
SimpleNPs,71,Guardaron el wine en la bodega para que envejeciera unos meses más.,Guardaron wine el en la bodega para que envejeciera unos meses más.,They opened the vino to celebrate the good news with close friends.,They opened vino the to celebrate the good news with close friends.
SimpleNPs,72,Sirvió el dessert al final de la cena para sorprender a los comensales.,Sirvió dessert el al final de la cena para sorprender a los comensales.,She prepared the postre with fresh fruit and a light syrup topping.,She prepared postre the with fresh fruit and a light syrup topping.
SimpleNPs,73,Preparó el breakfast antes de que los niños se despertaran esta mañana.,Preparó breakfast el antes de que los niños se despertaran esta mañana.,They enjoyed the desayuno together at the small table by the window.,They enjoyed desayuno the together at the small table by the window.
SimpleNPs,74,Empacó el lunch para llevarlo al trabajo y comer en la oficina.,Empacó lunch el para llevarlo al trabajo y comer en la oficina.,He postponed the almuerzo until after the important meeting finished.,He postponed almuerzo the until after the important meeting finished.
SimpleNPs,75,Limpia el bathroom antes de que lleguen los invitados esta tarde por favor.,Limpia bathroom el antes de que lleguen los invitados esta tarde  por favor.,She painted the baño a soft color to brighten the small space.,She painted baño the a soft color to brighten the small space.
SimpleNPs,76,Ordena el room y guarda la ropa antes de que lleguen tus padres.,Ordena room el y guarda la ropa antes de que lleguen tus padres.,He locked the cuarto door to ensure privacy while he studied late.,He locked cuarto the door to ensure privacy while he studied late.
SimpleNPs,77,Decoraron el bedroom con luces y plantas para crear un ambiente acogedor.,Decoraron bedroom el con luces y plantas para crear un ambiente acogedor.,She cleaned the dormitorio thoroughly before the guests arrived for the weekend.,She cleaned dormitorio the thoroughly before the guests arrived for the weekend.
SimpleNPs,78,Guardan el basement las cajas con recuerdos en la esquina más oscura.,Guardan basement el las cajas con recuerdos en la esquina más oscura.,They converted the sótano into a workshop for weekend DIY projects.,They converted sótano the into a workshop for weekend DIY projects.
SimpleNPs,79,Pusieron el balcony plantas y sillas para disfrutar las tardes de verano.,Pusieron balcony el plantas y sillas para disfrutar las tardes de verano.,She watered the balcón plants early before the heat of the day.,She watered balcón the plants early before the heat of the day.
SimpleNPs,80,Organizaron el game en el salón para que todos participaran y se divirtieran.,Organizaron game el en el salón para que todos participaran y se divirtieran.,He won the juego after a tense final round with his opponent.,He won juego the after a tense final round with his opponent.
SimpleNPs,81,Vieron el match en la televisión con amigos y mucha emoción.,Vieron match el en la televisión con amigos y mucha emoción.,They attended the partido and cheered loudly for their hometown team.,They attended partido the and cheered loudly for their hometown team.
SimpleNPs,82,Apoyaron el team durante todo el torneo con pancartas y cánticos.,Apoyaron team el durante todo el torneo con pancartas y cánticos.,She coached the equipo through drills before the big game tomorrow.,She coached equipo the through drills before the big game tomorrow.
SimpleNPs,83,Celebraron el goal con abrazos y gritos cuando terminó el partido.,Celebraron goal el con abrazos y gritos cuando terminó el partido.,He scored the gol in the final minute to win the match.,He scored gol the in the final minute to win the match.
SimpleNPs,84,Alquilaron el apartment cerca del centro para reducir el tiempo de viaje.,Alquilaron apartment el cerca del centro para reducir el tiempo de viaje.,They painted the piso to freshen up the living room before guests.,They painted piso the to freshen up the living room before guests.
SimpleNPs,85,Subieron el elevator porque las escaleras estaban cerradas por mantenimiento.,Subieron elevator el porque las escaleras estaban cerradas por mantenimiento.,He pressed the ascensor button and waited patiently for it to arrive.,He pressed ascensor the button and waited patiently for it to arrive.
SimpleNPs,86,Enciende el fan si hace calor mientras trabajas en la oficina.,Enciende fan el si hace calor mientras trabajas en la oficina.,They installed the ventilador to improve airflow in the small room.,They installed ventilador the to improve airflow in the small room.
SimpleNPs,87,Conecta el plug en la toma antes de encender el aparato eléctrico.,Conecta plug el en la toma antes de encender el aparato eléctrico.,She checked the enchufe for damage before plugging in the new lamp.,She checked enchufe the for damage before plugging in the new lamp.
SimpleNPs,88,Apaga el switch cuando salgas para ahorrar energía en la oficina.,Apaga switch el cuando salgas para ahorrar energía en la oficina.,He flipped the interruptor to turn on the lights in the hallway.,He flipped interruptor the to turn on the lights in the hallway.
SimpleNPs,89,Pulsa el button para iniciar la máquina y espera a que termine.,Pulsa button el para iniciar la máquina y espera a que termine.,She sewed the botón back onto the coat before the trip tomorrow.,She sewed botón the back onto the coat before the trip tomorrow.
SimpleNPs,90,Busca el remote_control entre los cojines del sofá antes de la película.,Busca remote_control el entre los cojines del sofá antes de la película.,He lost the control_remoto but found it under the newspaper later.,He lost control_remoto the but found it under the newspaper later.
SimpleNPs,91,Colocaron el speaker en la esquina para mejorar la calidad del sonido.,Colocaron speaker el en la esquina para mejorar la calidad del sonido.,They tested the altavoz volume before the presentation began in the hall.,They tested altavoz the volume before the presentation began in the hall.
SimpleNPs,92,Ajusta el microphone para que la voz se escuche clara en el evento.,Ajusta microphone el para que la voz se escuche clara en el evento.,She checked the micrófono cable to ensure it was securely connected.,She checked micrófono the cable to ensure it was securely connected.
SimpleNPs,93,Revisaron el video de la reunión para tomar notas sobre las decisiones.,Revisaron video el de la reunión para tomar notas sobre las decisiones.,He uploaded the video to the shared drive for the whole team.,He uploaded video the to the shared drive for the whole team.
SimpleNPs,94,Guarda el file en la carpeta correcta antes de cerrar el ordenador.,Guarda file el en la carpeta correcta antes de cerrar el ordenador.,She opened the archivo to review the figures for the report.,She opened archivo the to review the figures for the report.
SimpleNPs,95,Revisa el mail antes de salir para responder los mensajes urgentes.,Revisa mail el antes de salir para responder los mensajes urgentes.,He forwarded the correo to his colleague for additional review and comments.,He forwarded correo the to his colleague for additional review and comments.
SimpleNPs,96,Envía el message al grupo para confirmar la hora de la reunión.,Envía message el al grupo para confirmar la hora de la reunión.,She deleted the mensaje that contained outdated information from her inbox.,She deleted mensaje the that contained outdated information from her inbox.
SimpleNPs,97,Firma el contract y devuélvelo a la oficina antes del viernes.,Firma contract el y devuélvelo a la oficina antes del viernes.,They reviewed the contrato clause by clause with their legal advisor.,They reviewed contrato the clause by clause with their legal advisor.
SimpleNPs,98,Guarda el receipt por si necesitas hacer una devolución más tarde.,Guarda receipt el por si necesitas hacer una devolución más tarde.,He scanned the recibo and attached it to the expense report.,He scanned recibo the and attached it to the expense report.
SimpleNPs,99,Deposita el check en el banco antes de que cierre la sucursal.,Deposita check el en el banco antes de que cierre la sucursal.,She endorsed the cheque and handed it to the teller at once.,She endorsed cheque the and handed it to the teller at once.
SimpleNPs,100,Encuentra el wallet en la bolsa antes de salir hacia la estación.,Encuentra wallet el en la bolsa antes de salir hacia la estación.,He left the monedero on the counter and returned to retrieve it.,He left monedero the on the counter and returned to retrieve it.
SimpleNPs,101,Apaga el lamp antes de acostarte para ahorrar electricidad esta noche.,Apaga lamp el antes de acostarte para ahorrar electricidad esta noche.,Please turn off the lámpara when you leave the room tonight.,Please turn off lámpara the when you leave the room tonight.
SimpleNPs,102,Limpia el stove después de cocinar para evitar manchas difíciles mañana.,Limpia stove el después de cocinar para evitar manchas difíciles mañana.,They inspected the estufa to ensure it was safe before using it.,They inspected estufa the to ensure it was safe before using it.
SimpleNPs,103,Pon la compra en el fridge y cierra la puerta con cuidado.,Pon la compra en fridge el y cierra la puerta con cuidado.,She organized the nevera so everything would fit for the week.,She organized nevera the so everything would fit for the week.
SimpleNPs,104,Guarda los documentos importantes en el drawer dentro del escritorio ahora.,Guarda documentos importantes en drawer el dentro del escritorio ahora.,He opened the cajón to find the old letters from his grandmother.,He opened cajón the to find the old letters from his grandmother.
SimpleNPs,105,Coloca el libro en el shelf a la altura de los ojos.,Coloca libro en shelf el a la altura de los ojos.,They dusted the estante before arranging the new collection of books.,They dusted estante the before arranging the new collection of books.
SimpleNPs,106,Cierra el curtain para bloquear la luz antes de que amanezca.,Cierra curtain el para bloquear la luz antes de que amanezca.,She washed the cortina because it had accumulated dust over months.,She washed cortina the because it had accumulated dust over months.
SimpleNPs,107,Ajusta el mirror para que refleje la luz hacia la ventana.,Ajusta mirror el para que refleje la luz hacia la ventana.,He hung the espejo at eye level in the narrow hallway.,He hung espejo the at eye level in the narrow hallway.
SimpleNPs,108,Revisa el drawer para ver si dejaste las llaves allí ayer.,Revisa drawer el para ver si dejaste las llaves allí ayer.,She labeled the cajón to keep receipts organized for the month.,She labeled cajón the to keep receipts organized for the month.
SimpleNPs,109,Marca el appointment en el calendar para no olvidarlo la próxima semana.,Marca appointment en calendar el para no olvidarlo la próxima semana.,He updated the calendario with deadlines before the busy month began.,He updated calendario the with deadlines before the busy month began.
SimpleNPs,110,Mira el clock para comprobar la hora antes de salir corriendo.,Mira clock el para comprobar la hora antes de salir corriendo.,She wound the reloj so it would keep accurate time during travel.,She wound reloj the so it would keep accurate time during travel.
SimpleNPs,111,Pega el poster en la pared del pasillo con cinta adhesiva fuerte.,Pega poster el en la pared del pasillo con cinta adhesiva fuerte.,They framed the cartel and hung it above the reception desk.,They framed cartel the and hung it above the reception desk.
SimpleNPs,112,Consulta el calendar para elegir una fecha conveniente para la reunión.,Consulta calendar el para elegir una fecha conveniente para la reunión.,He circled the calendario date to remind everyone about the deadline.,He circled calendario the date to remind everyone about the deadline.
SimpleNPs,113,Guarda el receipt en la carpeta de gastos para la contabilidad mensual.,Guarda receipt el en la carpeta de gastos para la contabilidad mensual.,She scanned the recibo and emailed it to the accounting department.,She scanned recibo the and emailed it to the accounting department.
SimpleNPs,114,Retira el poster viejo antes de colgar el nuevo esta tarde.,Retira poster el viejo antes de colgar el nuevo esta tarde.,They printed the cartel with updated times for the upcoming festival.,They printed cartel the with updated times for the upcoming festival.
SimpleNPs,115,Coloca las botellas en el crate y ciérralo con cuidado para transportar.,Coloca botellas en crate el y ciérralo con cuidado para transportar.,He labeled the caja to indicate fragile items inside for movers.,He labeled caja the to indicate fragile items inside for movers.
SimpleNPs,116,Abre el box con cuidado porque contiene objetos frágiles y antiguos.,Abre box el con cuidado porque contiene objetos frágiles y antiguos.,She taped the caja shut after packing everything for the shipment.,She taped caja the shut after packing everything for the shipment.
SimpleNPs,117,Recoge el parcel en la oficina de correos antes de que cierre.,Recoge parcel el en la oficina de correos antes de que cierre.,They tracked the paquete to confirm delivery before the end of day.,They tracked paquete the to confirm delivery before the end of day.
SimpleNPs,118,Pega el stamp en el sobre antes de dejar la carta en correos.,Pega stamp el en el sobre antes de dejar la carta en correos.,He collected the sello from the drawer to complete the envelope.,He collected sello the from the drawer to complete the envelope.
SimpleNPs,119,Escribe el letter con calma y revisa la ortografía antes de enviar.,Escribe letter el con calma y revisa la ortografía antes de enviar.,She sealed the carta and dropped it in the mailbox on Monday.,She sealed carta the and dropped it in the mailbox on Monday.
SimpleNPs,120,Organiza el folder por colores para encontrar documentos rápidamente en la oficina.,Organiza folder el por colores para encontrar documentos rápidamente en la oficina.,He labeled the carpeta with dates to sort the files chronologically.,He labeled carpeta the with dates to sort the files chronologically.
SimpleNPs,121,Entrega el report al jefe antes de la reunión de la tarde.,Entrega report el al jefe antes de la reunión de la tarde.,She printed the informe and stapled the pages in order carefully.,She printed informe the and stapled the pages in order carefully.
SimpleNPs,122,Prepara el summary para la presentación y repásalo con el equipo.,Prepara summary el para la presentación y repásalo con el equipo.,They reviewed the resumen to ensure all points were covered succinctly.,They reviewed resumen the to ensure all points were covered succinctly.
SimpleNPs,123,Envía el invoice al cliente y confirma la recepción por correo.,Envía invoice el al cliente y confirma la recepción por correo.,He filed the Factura in the accounting folder for future reference.,He filed Factura the in the accounting folder for future reference.
SimpleNPs,124,Paga el bill antes de la fecha límite para evitar cargos adicionales.,Paga bill el antes de la fecha límite para evitar cargos adicionales.,She checked the recibo to verify the amount before authorizing payment.,She checked recibo the to verify the amount before authorizing payment.
SimpleNPs,125,Escanea el receipt y súbelo al sistema de gastos esta tarde.,Escanea receipt el y súbelo al sistema de gastos esta tarde.,He attached the recibo to the expense form for reimbursement processing.,He attached recibo the to the expense form for reimbursement processing.
SimpleNPs,126,Lleva el badge visible durante la visita al edificio por seguridad.,Lleva badge el visible durante la visita al edificio por seguridad.,They printed the placa with names for the conference attendees at registration.,They printed placa the with names for the conference attendees at registration.
SimpleNPs,127,Encuentra el key en la mesa antes de salir hacia la estación.,Encuentra key el en la mesa antes de salir hacia la estación.,She hid the llave in a safe place to avoid losing it again.,She hid llave the in a safe place to avoid losing it again.
SimpleNPs,128,Revisa el lock para asegurarte de que la puerta esté bien cerrada.,Revisa lock el para asegurarte de que la puerta esté bien cerrada.,He oiled the cerradura to prevent it from sticking in cold weather.,He oiled cerradura the to prevent it from sticking in cold weather.
SimpleNPs,129,Asegura la bicicleta con el chain antes de entrar a la tienda.,Asegura chain el la bicicleta antes de entrar a la tienda.,They repaired the cadena after noticing rust on several of the links.,They repaired cadena the after noticing rust on several of the links.
