label,phenomenon,sentence_number,codeswitch_direction,grammaticality,sentence,surprisal
SimpleNPs_36_spa_eng_grammatical,SimpleNPs,36,spa_eng,grammatical,Deja el soap junto al lavabo para que los invitados lo usen.,28.91791916
SimpleNPs_37_spa_eng_grammatical,SimpleNPs,37,spa_eng,grammatical,Precalienta el oven a la temperatura indicada antes de meter la masa.,32.85097122
SimpleNPs_38_spa_eng_grammatical,SimpleNPs,38,spa_eng,grammatical,Lee el newspaper mientras tomas café en la terraza esta mañana tranquila.,39.05277252
SimpleNPs_39_spa_eng_grammatical,SimpleNPs,39,spa_eng,grammatical,Ajusta el helmet antes de subir a la bicicleta en la pista.,21.57900238
SimpleNPs_40_spa_eng_grammatical,SimpleNPs,40,spa_eng,grammatical,Encuentra el glove que combina con tu abrigo en el cajón.,20.26743698
SimpleNPs_41_spa_eng_grammatical,SimpleNPs,41,spa_eng,grammatical,Lava el sweater según las instrucciones antes de guardarlo en otoño.,24.17599869
SimpleNPs_42_spa_eng_grammatical,SimpleNPs,42,spa_eng,grammatical,Pon el collar en la mesa junto a la caja de joyas.,15.89646149
SimpleNPs_43_spa_eng_grammatical,SimpleNPs,43,spa_eng,grammatical,Revisa el passport para asegurarte de que no esté caducado antes del viaje.,17.10960388
SimpleNPs_44_spa_eng_grammatical,SimpleNPs,44,spa_eng,grammatical,Cruza el bridge con cuidado porque el viento está muy fuerte hoy.,22.02414703
SimpleNPs_45_spa_eng_grammatical,SimpleNPs,45,spa_eng,grammatical,Sigue el road hasta el final y gira a la derecha en la rotonda.,24.20810699
SimpleNPs_46_spa_eng_grammatical,SimpleNPs,46,spa_eng,grammatical,Pescaron junto al river durante la mañana y regresaron al mediodía cansados.,22.35769272
SimpleNPs_47_spa_eng_grammatical,SimpleNPs,47,spa_eng,grammatical,Nadaron en el lake hasta que el sol empezó a ponerse lentamente.,47.76599503
SimpleNPs_48_spa_eng_grammatical,SimpleNPs,48,spa_eng,grammatical,Entraron al stadium con sus entradas y buscaron sus asientos rápidamente.,28.05532074
SimpleNPs_49_spa_eng_grammatical,SimpleNPs,49,spa_eng,grammatical,Disfrutaron el concert desde la primera fila durante casi tres horas.,19.95186615
SimpleNPs_50_spa_eng_grammatical,SimpleNPs,50,spa_eng,grammatical,Reservamos el show para el sábado y esperamos una noche divertida.,19.79417801
SimpleNPs_51_spa_eng_grammatical,SimpleNPs,51,spa_eng,grammatical,Colgó el painting en la pared del salón antes de la cena.,27.49157715
SimpleNPs_52_spa_eng_grammatical,SimpleNPs,52,spa_eng,grammatical,Guarda el pocket de la chaqueta para que no se pierda nada.,22.26071548
SimpleNPs_53_spa_eng_grammatical,SimpleNPs,53,spa_eng,grammatical,Busca el sock que falta dentro de la cesta de la ropa.,36.38039398
SimpleNPs_54_spa_eng_grammatical,SimpleNPs,54,spa_eng,grammatical,El conductor estacionó el truck junto al muelle para descargar la carga.,25.06303024
SimpleNPs_55_spa_eng_grammatical,SimpleNPs,55,spa_eng,grammatical,Tomaron el bus de la mañana para llegar a la oficina a tiempo.,20.16758347
SimpleNPs_56_spa_eng_grammatical,SimpleNPs,56,spa_eng,grammatical,Bajaron el subway en la estación central para cambiar de línea rápidamente.,35.4019928
SimpleNPs_57_spa_eng_grammatical,SimpleNPs,57,spa_eng,grammatical,Pasaron el park con los niños mientras buscaban un lugar para picnic.,22.77309036
SimpleNPs_58_spa_eng_grammatical,SimpleNPs,58,spa_eng,grammatical,Regaron el garden antes de que el sol se pusiera esta tarde.,38.26275635
SimpleNPs_59_spa_eng_grammatical,SimpleNPs,59,spa_eng,grammatical,Cruzaron el field para llegar al molino antes de que oscureciera.,31.12147522
SimpleNPs_60_spa_eng_grammatical,SimpleNPs,60,spa_eng,grammatical,Exploraron el forest con linternas durante la excursión nocturna del colegio.,30.69736099
SimpleNPs_61_spa_eng_grammatical,SimpleNPs,61,spa_eng,grammatical,Visitaron el museum para ver la exposición de arte contemporáneo internacional.,22.86824799
SimpleNPs_62_spa_eng_grammatical,SimpleNPs,62,spa_eng,grammatical,Reservaron el theater para la función que empezaba a las ocho.,21.69335556
SimpleNPs_63_spa_eng_grammatical,SimpleNPs,63,spa_eng,grammatical,Entraron el cinema justo cuando empezaba la película de la noche.,32.98594666
SimpleNPs_64_spa_eng_grammatical,SimpleNPs,64,spa_eng,grammatical,Cenamos el restaurant nuevo que abrió cerca de la plaza central ayer.,36.90325165
SimpleNPs_65_spa_eng_grammatical,SimpleNPs,65,spa_eng,grammatical,Reservaron el hotel con vista al mar para las vacaciones de verano.,20.52249908
SimpleNPs_66_spa_eng_grammatical,SimpleNPs,66,spa_eng,grammatical,Nos encontramos en el bar de la esquina para conversar un rato tranquilo.,12.20841217
SimpleNPs_67_spa_eng_grammatical,SimpleNPs,67,spa_eng,grammatical,Cortaron el cake en porciones iguales para repartir entre todos los invitados.,19.03749466
SimpleNPs_68_spa_eng_grammatical,SimpleNPs,68,spa_eng,grammatical,Compraron el ice_cream en la heladería antes de volver a casa caminando.,28.56766891
SimpleNPs_69_spa_eng_grammatical,SimpleNPs,69,spa_eng,grammatical,Sirve el juice en vasos fríos para los niños en la merienda.,26.44631577
SimpleNPs_70_spa_eng_grammatical,SimpleNPs,70,spa_eng,grammatical,Prepara el tea en la tetera antes de que lleguen los invitados.,24.67544174
SimpleNPs_71_spa_eng_grammatical,SimpleNPs,71,spa_eng,grammatical,Guardaron el wine en la bodega para que envejeciera unos meses más.,26.79313278
SimpleNPs_72_spa_eng_grammatical,SimpleNPs,72,spa_eng,grammatical,Sirvió el dessert al final de la cena para sorprender a los comensales.,18.50777054
SimpleNPs_73_spa_eng_grammatical,SimpleNPs,73,spa_eng,grammatical,Preparó el breakfast antes de que los niños se despertaran esta mañana.,20.79036713
SimpleNPs_74_spa_eng_grammatical,SimpleNPs,74,spa_eng,grammatical,Empacó el lunch para llevarlo al trabajo y comer en la oficina.,31.5683136
SimpleNPs_75_spa_eng_grammatical,SimpleNPs,75,spa_eng,grammatical,Limpia el bathroom antes de que lleguen los invitados esta tarde por favor.,35.63465881
SimpleNPs_76_spa_eng_grammatical,SimpleNPs,76,spa_eng,grammatical,Ordena el room y guarda la ropa antes de que lleguen tus padres.,29.63863754
SimpleNPs_77_spa_eng_grammatical,SimpleNPs,77,spa_eng,grammatical,Decoraron el bedroom con luces y plantas para crear un ambiente acogedor.,34.33979797
SimpleNPs_78_spa_eng_grammatical,SimpleNPs,78,spa_eng,grammatical,Guardan el basement las cajas con recuerdos en la esquina más oscura.,54.66220474
SimpleNPs_79_spa_eng_grammatical,SimpleNPs,79,spa_eng,grammatical,Pusieron el balcony plantas y sillas para disfrutar las tardes de verano.,34.80991745
SimpleNPs_80_spa_eng_grammatical,SimpleNPs,80,spa_eng,grammatical,Organizaron el game en el salón para que todos participaran y se divirtieran.,26.15073776
SimpleNPs_81_spa_eng_grammatical,SimpleNPs,81,spa_eng,grammatical,Vieron el match en la televisión con amigos y mucha emoción.,36.59724808
SimpleNPs_82_spa_eng_grammatical,SimpleNPs,82,spa_eng,grammatical,Apoyaron el team durante todo el torneo con pancartas y cánticos.,24.54037857
SimpleNPs_83_spa_eng_grammatical,SimpleNPs,83,spa_eng,grammatical,Celebraron el goal con abrazos y gritos cuando terminó el partido.,23.72858429
SimpleNPs_84_spa_eng_grammatical,SimpleNPs,84,spa_eng,grammatical,Alquilaron el apartment cerca del centro para reducir el tiempo de viaje.,29.93373871
SimpleNPs_85_spa_eng_grammatical,SimpleNPs,85,spa_eng,grammatical,Subieron el elevator porque las escaleras estaban cerradas por mantenimiento.,26.70343781
SimpleNPs_86_spa_eng_grammatical,SimpleNPs,86,spa_eng,grammatical,Enciende el fan si hace calor mientras trabajas en la oficina.,22.25421524
SimpleNPs_87_spa_eng_grammatical,SimpleNPs,87,spa_eng,grammatical,Conecta el plug en la toma antes de encender el aparato eléctrico.,24.28591156
SimpleNPs_88_spa_eng_grammatical,SimpleNPs,88,spa_eng,grammatical,Apaga el switch cuando salgas para ahorrar energía en la oficina.,23.91772461
SimpleNPs_89_spa_eng_grammatical,SimpleNPs,89,spa_eng,grammatical,Pulsa el button para iniciar la máquina y espera a que termine.,24.90122986
SimpleNPs_90_spa_eng_grammatical,SimpleNPs,90,spa_eng,grammatical,Busca el remote_control entre los cojines del sofá antes de la película.,40.64092255
SimpleNPs_91_spa_eng_grammatical,SimpleNPs,91,spa_eng,grammatical,Colocaron el speaker en la esquina para mejorar la calidad del sonido.,12.76900482
SimpleNPs_92_spa_eng_grammatical,SimpleNPs,92,spa_eng,grammatical,Ajusta el microphone para que la voz se escuche clara en el evento.,29.28210831
SimpleNPs_93_spa_eng_grammatical,SimpleNPs,93,spa_eng,grammatical,Revisaron el video de la reunión para tomar notas sobre las decisiones.,28.30536652
SimpleNPs_94_spa_eng_grammatical,SimpleNPs,94,spa_eng,grammatical,Guarda el file en la carpeta correcta antes de cerrar el ordenador.,23.22485352
SimpleNPs_95_spa_eng_grammatical,SimpleNPs,95,spa_eng,grammatical,Revisa el mail antes de salir para responder los mensajes urgentes.,24.56573486
SimpleNPs_96_spa_eng_grammatical,SimpleNPs,96,spa_eng,grammatical,Envía el message al grupo para confirmar la hora de la reunión.,30.84164429
SimpleNPs_97_spa_eng_grammatical,SimpleNPs,97,spa_eng,grammatical,Firma el contract y devuélvelo a la oficina antes del viernes.,31.75888062
SimpleNPs_98_spa_eng_grammatical,SimpleNPs,98,spa_eng,grammatical,Guarda el receipt por si necesitas hacer una devolución más tarde.,23.43561935
SimpleNPs_99_spa_eng_grammatical,SimpleNPs,99,spa_eng,grammatical,Deposita el check en el banco antes de que cierre la sucursal.,20.21505737
SimpleNPs_100_spa_eng_grammatical,SimpleNPs,100,spa_eng,grammatical,Encuentra el wallet en la bolsa antes de salir hacia la estación.,26.57091522
SimpleNPs_101_spa_eng_grammatical,SimpleNPs,101,spa_eng,grammatical,Apaga el lamp antes de acostarte para ahorrar electricidad esta noche.,38.88475418
SimpleNPs_102_spa_eng_grammatical,SimpleNPs,102,spa_eng,grammatical,Limpia el stove después de cocinar para evitar manchas difíciles mañana.,36.39546967
SimpleNPs_103_spa_eng_grammatical,SimpleNPs,103,spa_eng,grammatical,Pon la compra en el fridge y cierra la puerta con cuidado.,18.94142532
SimpleNPs_104_spa_eng_grammatical,SimpleNPs,104,spa_eng,grammatical,Guarda los documentos importantes en el drawer dentro del escritorio ahora.,26.44943619
SimpleNPs_105_spa_eng_grammatical,SimpleNPs,105,spa_eng,grammatical,Coloca el libro en el shelf a la altura de los ojos.,12.18781281
SimpleNPs_106_spa_eng_grammatical,SimpleNPs,106,spa_eng,grammatical,Cierra el curtain para bloquear la luz antes de que amanezca.,11.07500458
SimpleNPs_107_spa_eng_grammatical,SimpleNPs,107,spa_eng,grammatical,Ajusta el mirror para que refleje la luz hacia la ventana.,23.40330887
SimpleNPs_108_spa_eng_grammatical,SimpleNPs,108,spa_eng,grammatical,Revisa el drawer para ver si dejaste las llaves allí ayer.,35.22639084
SimpleNPs_109_spa_eng_grammatical,SimpleNPs,109,spa_eng,grammatical,Marca el appointment en el calendar para no olvidarlo la próxima semana.,33.52245712
SimpleNPs_110_spa_eng_grammatical,SimpleNPs,110,spa_eng,grammatical,Mira el clock para comprobar la hora antes de salir corriendo.,19.98137665
SimpleNPs_111_spa_eng_grammatical,SimpleNPs,111,spa_eng,grammatical,Pega el poster en la pared del pasillo con cinta adhesiva fuerte.,22.71799469
SimpleNPs_112_spa_eng_grammatical,SimpleNPs,112,spa_eng,grammatical,Consulta el calendar para elegir una fecha conveniente para la reunión.,24.10704422
SimpleNPs_113_spa_eng_grammatical,SimpleNPs,113,spa_eng,grammatical,Guarda el receipt en la carpeta de gastos para la contabilidad mensual.,37.74565125
SimpleNPs_114_spa_eng_grammatical,SimpleNPs,114,spa_eng,grammatical,Retira el poster viejo antes de colgar el nuevo esta tarde.,18.11889648
SimpleNPs_115_spa_eng_grammatical,SimpleNPs,115,spa_eng,grammatical,Coloca las botellas en el crate y ciérralo con cuidado para transportar.,31.86419678
SimpleNPs_116_spa_eng_grammatical,SimpleNPs,116,spa_eng,grammatical,Abre el box con cuidado porque contiene objetos frágiles y antiguos.,18.13397217
SimpleNPs_117_spa_eng_grammatical,SimpleNPs,117,spa_eng,grammatical,Recoge el parcel en la oficina de correos antes de que cierre.,33.2996521
SimpleNPs_118_spa_eng_grammatical,SimpleNPs,118,spa_eng,grammatical,Pega el stamp en el sobre antes de dejar la carta en correos.,55.23116684
SimpleNPs_119_spa_eng_grammatical,SimpleNPs,119,spa_eng,grammatical,Escribe el letter con calma y revisa la ortografía antes de enviar.,27.03201294
SimpleNPs_120_spa_eng_grammatical,SimpleNPs,120,spa_eng,grammatical,Organiza el folder por colores para encontrar documentos rápidamente en la oficina.,41.29278183
SimpleNPs_121_spa_eng_grammatical,SimpleNPs,121,spa_eng,grammatical,Entrega el report al jefe antes de la reunión de la tarde.,30.6227417
SimpleNPs_122_spa_eng_grammatical,SimpleNPs,122,spa_eng,grammatical,Prepara el summary para la presentación y repásalo con el equipo.,51.84434509
SimpleNPs_123_spa_eng_grammatical,SimpleNPs,123,spa_eng,grammatical,Envía el invoice al cliente y confirma la recepción por correo.,20.10866547
SimpleNPs_124_spa_eng_grammatical,SimpleNPs,124,spa_eng,grammatical,Paga el bill antes de la fecha límite para evitar cargos adicionales.,22.00832748
SimpleNPs_125_spa_eng_grammatical,SimpleNPs,125,spa_eng,grammatical,Escanea el receipt y súbelo al sistema de gastos esta tarde.,57.96424484
SimpleNPs_126_spa_eng_grammatical,SimpleNPs,126,spa_eng,grammatical,Lleva el badge visible durante la visita al edificio por seguridad.,34.85041428
SimpleNPs_127_spa_eng_grammatical,SimpleNPs,127,spa_eng,grammatical,Encuentra el key en la mesa antes de salir hacia la estación.,36.14994812
SimpleNPs_128_spa_eng_grammatical,SimpleNPs,128,spa_eng,grammatical,Revisa el lock para asegurarte de que la puerta esté bien cerrada.,16.36253357
SimpleNPs_129_spa_eng_grammatical,SimpleNPs,129,spa_eng,grammatical,Asegura la bicicleta con el chain antes de entrar a la tienda.,44.49956131
SimpleNPs_130_spa_eng_grammatical,SimpleNPs,130,spa_eng,grammatical,Ata el rope alrededor del paquete para mantenerlo firme durante el viaje.,43.63681793
SimpleNPs_131_spa_eng_grammatical,SimpleNPs,131,spa_eng,grammatical,Coloca el ladder contra la pared antes de subir con cuidado.,21.49498749
SimpleNPs_132_spa_eng_grammatical,SimpleNPs,132,spa_eng,grammatical,Guarda el tool en la caja después de terminar la reparación del coche.,27.81631088
SimpleNPs_133_spa_eng_grammatical,SimpleNPs,133,spa_eng,grammatical,Sujeta el hammer con firmeza antes de golpear el clavo en la madera.,17.35173416
SimpleNPs_134_spa_eng_grammatical,SimpleNPs,134,spa_eng,grammatical,Inserta el nail en la tabla y golpéalo con cuidado hasta que entre.,52.24259186
SimpleNPs_135_spa_eng_grammatical,SimpleNPs,135,spa_eng,grammatical,Aprieta el screw para asegurar la bisagra antes de cerrar la puerta.,35.60640335
SimpleNPs_136_spa_eng_grammatical,SimpleNPs,136,spa_eng,grammatical,Usa el drill con protección ocular para perforar la pared con seguridad.,35.98159409
SimpleNPs_137_spa_eng_grammatical,SimpleNPs,137,spa_eng,grammatical,Aplica el paint en capas finas para lograr un acabado uniforme y liso.,19.31821823
SimpleNPs_138_spa_eng_grammatical,SimpleNPs,138,spa_eng,grammatical,Sumerge el brush en la pintura y pinta con trazos largos y suaves.,34.24123001
SimpleNPs_139_spa_eng_grammatical,SimpleNPs,139,spa_eng,grammatical,Pasa el roller sobre la pared para cubrirla con la nueva capa.,26.06714249
SimpleNPs_140_spa_eng_grammatical,SimpleNPs,140,spa_eng,grammatical,Coloca el mask antes de entrar al taller por seguridad y salud.,30.58308029
SimpleNPs_141_spa_eng_grammatical,SimpleNPs,141,spa_eng,grammatical,Limpia las glasses con un paño suave antes de empezar a trabajar.,17.98205948
SimpleNPs_142_spa_eng_grammatical,SimpleNPs,142,spa_eng,grammatical,Saca el contact_lens con cuidado y guárdalo en su estuche limpio.,47.95939255
SimpleNPs_143_spa_eng_grammatical,SimpleNPs,143,spa_eng,grammatical,Coloca el bandage sobre la herida y sujétalo con cinta adhesiva.,33.67483521
SimpleNPs_144_spa_eng_grammatical,SimpleNPs,144,spa_eng,grammatical,Aplica el ointment según las instrucciones para acelerar la curación de la piel.,22.30519867
SimpleNPs_145_spa_eng_grammatical,SimpleNPs,145,spa_eng,grammatical,Mide la temperatura con el thermometer y anota el resultado en la ficha.,16.35652924
SimpleNPs_146_spa_eng_grammatical,SimpleNPs,146,spa_eng,grammatical,Escucharon el band tocar en vivo durante el festival de la ciudad.,24.06649399
SimpleNPs_147_spa_eng_grammatical,SimpleNPs,147,spa_eng,grammatical,Compraron el album en la tienda de música después del concierto.,22.51472473
SimpleNPs_148_spa_eng_grammatical,SimpleNPs,148,spa_eng,grammatical,Corrió el track tres veces como parte de su entrenamiento diario.,17.17362976
SimpleNPs_149_spa_eng_grammatical,SimpleNPs,149,spa_eng,grammatical,Revisaron el score para verificar los resultados antes de anunciar al ganador.,30.12525177
SimpleNPs_150_spa_eng_grammatical,SimpleNPs,150,spa_eng,grammatical,Ensaya el script con el elenco para pulir las escenas antes del estreno.,30.92320633
SimpleNPs_151_spa_eng_grammatical,SimpleNPs,151,spa_eng,grammatical,Coloca el mirror en la pared del pasillo antes de la cena familiar.,29.70608521
SimpleNPs_152_spa_eng_grammatical,SimpleNPs,152,spa_eng,grammatical,Cubre al bebé con el blanket antes de salir al frío nocturno.,35.82611465
SimpleNPs_153_spa_eng_grammatical,SimpleNPs,153,spa_eng,grammatical,Pon el pillow en la cama para que esté cómodo al dormir.,15.2287674
SimpleNPs_154_spa_eng_grammatical,SimpleNPs,154,spa_eng,grammatical,Coloca el mat frente a la puerta para limpiar los zapatos al entrar.,41.28718948
SimpleNPs_155_spa_eng_grammatical,SimpleNPs,155,spa_eng,grammatical,Cierra el curtain para que la habitación quede oscura antes de dormir.,11.5501709
SimpleNPs_156_spa_eng_grammatical,SimpleNPs,156,spa_eng,grammatical,Pinta la pared con el blank para que el cuarto parezca más grande.,28.73565292
SimpleNPs_157_spa_eng_grammatical,SimpleNPs,157,spa_eng,grammatical,Colgó el frame con cuidado para que la foto quedara centrada.,27.63155746
SimpleNPs_158_spa_eng_grammatical,SimpleNPs,158,spa_eng,grammatical,Colocaron el statue en el jardín para decorar la entrada principal.,27.30115891
SimpleNPs_159_spa_eng_grammatical,SimpleNPs,159,spa_eng,grammatical,Pon el vase en el centro de la mesa para la cena.,20.15106583
SimpleNPs_160_spa_eng_grammatical,SimpleNPs,160,spa_eng,grammatical,Enciende el candle durante la cena para crear un ambiente acogedor.,20.68458176
SimpleNPs_161_spa_eng_grammatical,SimpleNPs,161,spa_eng,grammatical,Lleva el lantern al patio cuando salgamos a cenar esta noche.,33.46281433
SimpleNPs_162_spa_eng_grammatical,SimpleNPs,162,spa_eng,grammatical,Ajusta el clock para que suene la alarma a las seis.,15.44718933
SimpleNPs_163_spa_eng_grammatical,SimpleNPs,163,spa_eng,grammatical,Marca el calendar con la fecha límite antes de enviar el informe.,29.41119385
SimpleNPs_164_spa_eng_grammatical,SimpleNPs,164,spa_eng,grammatical,Pega el poster en la pared del pasillo para anunciar el evento.,19.72127914
SimpleNPs_165_spa_eng_grammatical,SimpleNPs,165,spa_eng,grammatical,Coloca el sign en la entrada para indicar el horario de atención.,28.84727859
SimpleNPs_166_spa_eng_grammatical,SimpleNPs,166,spa_eng,grammatical,Izaron el flag en el mástil al comenzar la ceremonia oficial del pueblo.,62.32957458
SimpleNPs_167_spa_eng_grammatical,SimpleNPs,167,spa_eng,grammatical,Visitaron el statue histórico durante la excursión guiada por la ciudad.,23.21302032
SimpleNPs_168_spa_eng_grammatical,SimpleNPs,168,spa_eng,grammatical,Colocaron el plaque junto a la entrada para conmemorar la inauguración.,33.11886978
SimpleNPs_169_spa_eng_grammatical,SimpleNPs,169,spa_eng,grammatical,Pusieron el signboard frente a la tienda para anunciar la oferta especial.,27.24752045
SimpleNPs_170_spa_eng_grammatical,SimpleNPs,170,spa_eng,grammatical,Retiraron el poster antiguo antes de colgar el nuevo esta mañana.,20.84261703
SimpleNPs_171_spa_eng_grammatical,SimpleNPs,171,spa_eng,grammatical,Pulieron el statue de bronce para que brillara en la exposición.,51.9798584
SimpleNPs_172_spa_eng_grammatical,SimpleNPs,172,spa_eng,grammatical,Colocaron el bench bajo el árbol para que la gente descansara.,26.35399246
SimpleNPs_173_spa_eng_grammatical,SimpleNPs,173,spa_eng,grammatical,Encendieron el fountain por la noche para el espectáculo de luces.,20.77973175
SimpleNPs_174_spa_eng_grammatical,SimpleNPs,174,spa_eng,grammatical,Cruzaron el bridge con cuidado porque el viento soplaba con fuerza.,19.47801208
SimpleNPs_175_spa_eng_grammatical,SimpleNPs,175,spa_eng,grammatical,Admiraron el statue moderno durante la visita al museo de arte.,34.43928909
SimpleNPs_176_spa_eng_grammatical,SimpleNPs,176,spa_eng,grammatical,Fotografiaron el monument durante la excursión para el proyecto escolar.,41.111763
SimpleNPs_177_spa_eng_grammatical,SimpleNPs,177,spa_eng,grammatical,Resguardaron el statue en el almacén para protegerlo de la lluvia.,31.23604202
SimpleNPs_178_spa_eng_grammatical,SimpleNPs,178,spa_eng,grammatical,Decoraron el altar con flores para la celebración religiosa del domingo.,15.85942459
SimpleNPs_179_spa_eng_grammatical,SimpleNPs,179,spa_eng,grammatical,Visitamos el shrine para dejar una ofrenda y pedir buena suerte.,24.15287781
SimpleNPs_180_spa_eng_grammatical,SimpleNPs,180,spa_eng,grammatical,Exploraron el crypt con linternas durante la visita nocturna guiada.,24.68677139
SimpleNPs_181_spa_eng_grammatical,SimpleNPs,181,spa_eng,grammatical,Colocaron el altar decorado en el centro de la capilla antigua.,17.93066788
SimpleNPs_182_spa_eng_grammatical,SimpleNPs,182,spa_eng,grammatical,Guardaron el statue en una vitrina para protegerlo del polvo y la humedad.,33.64183426
SimpleNPs_183_spa_eng_grammatical,SimpleNPs,183,spa_eng,grammatical,Coloca el mask antes de entrar al laboratorio por seguridad y protocolo.,32.7973175
SimpleNPs_184_spa_eng_grammatical,SimpleNPs,184,spa_eng,grammatical,Encuentra el glove que dejaste en la mesa del comedor esta mañana.,19.81697083
SimpleNPs_185_spa_eng_grammatical,SimpleNPs,185,spa_eng,grammatical,Ajusta el helmet antes de subir a la bicicleta por seguridad.,19.7156601
